,date_time_utc,event_id,recipient_address,recipient_status,sender_address
0,2021-02-01T10:33:09.1850000Z,DELIVER,int_2;,Tickets-Mailbox Rules Agent,int_1
1,2021-02-01T12:28:03.9180000Z,AGENTINFO,int_3;,,int_1
2,2021-02-01T07:15:51.6810000Z,RECEIVE,int_4;,,int_1
3,2021-02-01T12:57:07.9610000Z,RECEIVE,int_3;,Unknown,int_1
4,2021-02-01T11:21:04.5890000Z,SUBMIT,int_5;,,int_1
5,2021-02-01T12:32:13.2840000Z,DELIVER,int_6;,,int_1
6,2021-02-01T11:21:04.6690000Z,AGENTINFO,int_8;int_7;int_2;int_5;int_5;,,int_1
7,2021-02-01T11:21:04.3210000Z,RECEIVE,int_5;,Unknown,int_1
8,2021-02-01T08:27:11.6580000Z,RECIPIENTINFO,int_10;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_9
9,2021-02-01T12:32:11.0270000Z,RESUBMIT,int_6;int_6;,Message forked,int_1
10,2021-02-01T11:21:04.6770000Z,AGENTINFO,int_8;int_7;int_2;,,int_1
11,2021-02-01T10:24:10.6380000Z,DELIVER,int_11;,HelpDesk-Mailbox Rules Agent,int_1
12,2021-02-01T08:21:24.1170000Z,AGENTINFO,ext_13;ext_13;,,int_12
13,2021-02-01T11:20:11.5060000Z,AGENTINFO,int_14;int_14;,,int_1
14,2021-02-01T08:17:08.5370000Z,AGENTINFO,int_5;int_5;,,int_1
15,2021-02-01T11:21:05.0850000Z,DELIVER,int_8;,HD-Mailbox Rules Agent,int_1
16,2021-02-01T07:19:12.6660000Z,RECEIVE,int_5;,Unknown,int_1
17,2021-02-01T11:20:11.3140000Z,RECEIVE,int_14;,,int_1
18,2021-02-01T11:07:12.7040000Z,DELIVER,int_15;,JIRA-Mailbox Rules Agent,int_1
19,2021-02-01T11:20:11.9880000Z,DELIVER,int_16;,,int_1
20,2021-02-01T08:21:22.8640000Z,RECIPIENTINFO,ext_13;ext_13;ext_13;,'NotFound.OneOff.Resolver.CreateRecipientItems.10;MailUser.Contact.Resolver.CreateRecipientItems.30;NotFound.OneOff.Resolver.CreateRecipientItems.10',int_12
21,2021-02-01T12:28:03.8860000Z,RECIPIENTINFO,int_3;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_1
22,2021-02-01T08:02:01.7730000Z,DELIVER,int_8;,,int_17
23,2021-02-01T11:20:10.5660000Z,CLIENTSUBMISSION,int_14;,,int_1
24,2021-02-01T08:17:08.5010000Z,SUBMIT,int_5;,,int_1
25,2021-02-01T11:21:04.6850000Z,AGENTINFO,int_5;int_5;,,int_1
26,2021-02-01T10:24:09.9090000Z,RECIPIENTINFO,int_11;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_1
27,2021-02-01T07:19:12.9150000Z,AGENTINFO,int_8;int_7;int_2;int_5;int_5;,,int_1
28,2021-02-01T12:28:03.7990000Z,RECEIVE,int_3;,,int_1
29,2021-02-01T07:15:51.7720000Z,AGENTINFO,int_4;,,int_1
30,2021-02-01T12:32:11.0460000Z,AGENTINFO,int_6;int_6;,,int_1
31,2021-02-01T11:20:11.4970000Z,AGENTINFO,int_22;int_21;int_20;int_19;int_16;int_2;int_18;,,int_1
32,2021-02-11T06:37:07.9630000Z,RECIPIENTINFO,int_22;int_21;int_20;int_19;int_16;int_2;int_18;int_14;int_14;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40',int_1
33,2021-02-11T06:37:08.0700000Z,RECIPIENTINFO,int_14;int_14;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70',int_1
34,2021-02-11T11:50:28.2910000Z,RECIPIENTINFO,int_24;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_23
35,2021-02-11T07:07:05.7460000Z,AGENTINFO,int_8;int_7;int_2;,,int_1
36,2021-02-11T09:24:27.9240000Z,RECIPIENTINFO,int_27;int_26;,'UserMailbox.Forwardable.Resolver.CreateRecipientItems.40;UserMailbox.Forwardable.Resolver.CreateRecipientItems.40',int_25
37,2021-02-11T09:50:44.1420000Z,AGENTINFO,int_28;,,int_1
38,2021-02-11T09:24:28.5670000Z,AGENTINFO,int_27;int_26;,,int_25
39,2021-02-11T09:24:26.7870000Z,RECEIVE,int_27;int_26;,To;Cc,int_25
40,2021-02-11T06:37:08.7720000Z,DELIVER,int_21;,Tickets-Mailbox Rules Agent,int_1
41,2021-02-11T12:15:08.1720000Z,RECIPIENTINFO,int_29;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_1
42,2021-02-11T09:24:58.4020000Z,AGENTINFO,int_27;int_26;,,int_25
43,2021-02-11T12:43:32.8030000Z,AGENTINFO,int_32;int_31;,,int_30
44,2021-02-11T09:06:45.0360000Z,AGENTINFO,int_8;int_7;int_2;,,int_1
45,2021-02-11T14:25:10.2160000Z,CLIENTSUBMISSION,int_33;,,int_1
46,2021-02-11T07:30:41.1670000Z,RECIPIENTINFO,int_37;int_36;ext_35;,'NotFound.OneOff.Resolver.CreateRecipientItems.10;UserMailbox.Forwardable.Resolver.CreateRecipientItems.40;UserMailbox.Forwardable.Resolver.CreateRecipientItems.40',int_34
47,2021-02-11T09:25:00.6850000Z,DELIVER,int_26;,,int_25
48,2021-02-11T07:32:24.4760000Z,AGENTINFO,int_37;int_36;,,int_34
49,2021-02-11T09:46:08.5970000Z,RECIPIENTINFO,int_38;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_1
50,2021-02-11T07:30:47.8220000Z,SENDEXTERNAL,ext_35;,250 2.1.5 <<PII:H101(HQzxi+KZbKHvqSBOaTiX9t658peaxfJ5wppJV+IZ2GA=):E102(SZKQjIZ+dGhanIt4Y6KKcJZXW6ei2qKNM1umjEzenbZH1vAqb4q0cecuIfD5YmVL)>@bankofbaghdad.com.iq>... Recipient ok,int_34
51,2021-02-11T14:30:04.8760000Z,SUBMIT,int_2;,,int_1
52,2021-02-11T09:06:11.1630000Z,CLIENTSUBMISSION,int_5;,,int_1
53,2021-02-11T06:37:08.0630000Z,RESUBMIT,int_14;int_14;,Message forked,int_1
54,2021-02-11T07:07:05.7420000Z,AGENTINFO,int_8;int_7;int_2;,,int_1
55,2021-02-11T09:46:08.3070000Z,RECEIVE,int_38;,Unknown,int_1
56,2021-02-11T07:42:05.1740000Z,AGENTINFO,int_39;,,int_1
57,2021-02-11T09:24:58.5300000Z,AGENTINFO,int_27;int_26;,,int_25
58,2021-02-11T12:43:31.9900000Z,RECEIVE,int_32;int_31;,Cc;To,int_30
59,2021-02-11T07:32:26.2550000Z,DELIVER,int_36;,,int_34
60,2021-02-11T06:37:08.0630000Z,TRANSFER,int_14;int_14;,,int_1
61,2021-02-11T11:50:30.4180000Z,DELIVER,int_24;,,int_23
62,2021-02-11T12:15:08.2810000Z,SUBMIT,int_29;,,int_1
63,2021-02-11T14:25:09.5670000Z,RECIPIENTINFO,int_33;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_1
64,2021-02-02T10:33:34.3140000Z,RECEIVE,int_18;,,int_1
65,2021-02-02T10:33:34.4100000Z,AGENTINFO,int_18;,,int_1
66,2021-02-02T11:01:08.2280000Z,RECEIVE,int_15;,Unknown,int_1
67,2021-02-21T07:12:13.0390000Z,RECEIVE,int_6;,,int_1
68,2021-02-21T05:19:10.9140000Z,RECIPIENTINFO,int_40;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_1
69,2021-02-21T05:33:05.8530000Z,AGENTINFO,int_41;,,int_1
70,2021-02-21T05:19:10.9660000Z,SUBMIT,int_40;,,int_1
71,2021-02-21T05:19:10.0290000Z,CLIENTSUBMISSION,int_40;,,int_1
72,2021-02-02T11:58:06.3820000Z,AGENTINFO,int_8;int_7;int_2;int_5;int_5;,,int_1
73,2021-02-21T09:59:04.4490000Z,RECEIVE,int_42;,,int_1
74,2021-02-21T07:34:04.8700000Z,RECEIVE,int_18;,,int_1
75,2021-02-21T06:48:05.2430000Z,AGENTINFO,int_2;,,int_1
76,2021-02-21T08:18:03.6850000Z,AGENTINFO,ext_43;,,int_1
77,2021-02-21T12:10:17.7730000Z,DELIVER,int_6;,,int_1
78,2021-02-21T07:25:07.1520000Z,RECEIVE,ext_44;,,int_1
79,2021-02-21T07:34:05.3860000Z,DELIVER,int_18;,HD-Mailbox Rules Agent,int_1
80,2021-02-21T06:53:06.9650000Z,SUBMIT,int_5;,,int_1
81,2021-02-21T12:10:17.4300000Z,AGENTINFO,int_39;int_47;int_46;ext_45;int_4;int_2;int_6;int_6;,,int_1
82,2021-02-21T09:22:17.4410000Z,AGENTINFO,int_52;int_51;int_50;int_49;,,int_48
83,2021-02-21T07:42:50.2620000Z,RECEIVE,int_11;,Unknown,int_1
84,2021-02-21T06:53:09.3610000Z,AGENTINFO,int_53;,,int_1
85,2021-02-02T10:33:34.4080000Z,AGENTINFO,int_18;,,int_1
86,2021-02-21T07:12:12.7880000Z,CLIENTSUBMISSION,int_6;,,int_1
87,2021-02-21T12:10:17.2740000Z,EXPAND,int_39;int_47;int_46;ext_45;int_4;int_2;,'250 2.1.5 RESOLVER.GRP.Expanded; distribution list expanded',int_1
88,2021-02-21T06:58:53.2090000Z,SUBMIT,int_3;,,int_1
89,2021-02-21T07:34:04.9490000Z,AGENTINFO,int_18;,,int_1
90,2021-02-21T06:48:04.5090000Z,CLIENTSUBMISSION,int_2;,,int_1
91,2021-02-21T06:53:07.1760000Z,RESUBMIT,int_5;int_5;,Message forked,int_1
92,2021-02-02T10:33:34.4060000Z,SUBMIT,int_18;,,int_1
93,2021-02-02T11:01:08.5830000Z,AGENTINFO,int_15;,,int_1
94,2021-02-21T09:59:04.5440000Z,AGENTINFO,int_42;,,int_1
95,2021-02-21T12:10:17.4530000Z,AGENTINFO,int_6;int_6;,,int_1
96,2021-02-23T07:31:15.6030000Z,SUBMIT,int_4;,,int_1
97,2021-02-23T15:26:58.3680000Z,CLIENTSUBMISSION,int_5;int_2;,,int_54
98,2021-02-23T08:10:05.3680000Z,RECEIVE,ext_55;,,int_1
99,2021-02-09T12:10:04.3830000Z,RECIPIENTINFO,ext_56;ext_56;ext_57;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_57;ext_56;,'NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;MailUser.Contact.Resolver.CreateRecipientItems.30;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;MailUser.Contact.Resolver.CreateRecipientItems.30',int_42
100,2021-02-03T07:05:00.2000000Z,CLIENTSUBMISSION,int_5;,,int_1
101,2021-02-24T06:13:10.7980000Z,RECEIVE,int_58;,Unknown,int_1
102,2021-02-03T07:05:00.5370000Z,EXPAND,int_8;int_7;int_2;,'250 2.1.5 RESOLVER.GRP.Expanded; distribution list expanded',int_1
103,2021-02-03T13:30:09.7070000Z,AGENTINFO,int_42;,,int_1
104,2021-02-23T15:47:03.6560000Z,RESUBMIT,int_5;int_5;int_2;,Message forked,int_54
105,2021-02-25T06:55:46.1570000Z,AGENTINFO,ext_60;ext_60;,,int_59
106,2021-02-04T11:51:03.4030000Z,SETROUTE,ext_55;,,int_1
107,2021-02-10T08:09:05.7900000Z,RECEIVE,int_5;,,int_1
108,2021-02-09T06:52:10.0100000Z,RECEIVE,int_14;,Unknown,int_1
109,2021-02-09T06:52:13.6740000Z,DELIVER,int_14;,,int_1
110,2021-02-07T06:33:02.5730000Z,AGENTINFO,int_38;,,int_1
111,2021-02-04T11:51:03.4070000Z,AGENTINFO,ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;,,int_1
112,2021-02-09T08:27:07.3160000Z,SUBMIT,int_61;,,int_1
113,2021-02-09T06:52:10.5920000Z,AGENTINFO,int_14;int_14;,,int_1
114,2021-02-08T15:27:07.8240000Z,CLIENTSUBMISSION,int_11;,,int_1
115,2021-02-09T09:12:04.9830000Z,RECIPIENTINFO,int_8;int_7;int_2;int_5;int_5;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40',int_1
116,2021-02-09T12:10:05.5460000Z,AGENTINFO,ext_56;ext_57;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_57;ext_56;,,int_42
117,2021-02-23T07:31:15.9960000Z,DELIVER,int_4;,HD-Mailbox Rules Agent,int_1
118,2021-02-09T12:10:04.3750000Z,RESUBMIT,ext_56;ext_56;ext_57;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_56;ext_57;ext_56;,Message forked,int_42
119,2021-02-09T06:52:10.5790000Z,RECIPIENTINFO,int_14;int_14;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70',int_1
120,2021-02-07T08:12:10.3800000Z,SUBMIT,int_11;,,int_1
121,2021-02-04T11:51:03.4030000Z,SETROUTE,ext_55;,,int_1
122,2021-02-10T05:00:09.6390000Z,SENDEXTERNAL,ext_62;ext_62;,250 Accepted;250 Accepted,int_61
123,2021-02-09T10:56:10.4950000Z,RECIPIENTINFO,int_4;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_1
124,2021-02-23T07:31:15.6160000Z,AGENTINFO,int_4;,,int_1
125,2021-02-23T08:10:05.5930000Z,SETROUTE,ext_55;,,int_1
126,2021-02-25T06:55:46.2190000Z,AGENTINFO,ext_60;ext_60;,,int_59
127,2021-02-09T06:52:11.3430000Z,DELIVER,int_2;,Tickets-Mailbox Rules Agent,int_1
128,2021-02-01T07:15:22.4510000Z,CLIENTSUBMISSION,int_4;,,int_1
129,2021-02-01T10:33:08.0290000Z,CLIENTSUBMISSION,int_5;,,int_1
130,2021-02-01T11:07:11.6260000Z,RECEIVE,int_15;,Unknown,int_1
131,2021-02-23T16:42:02.4360000Z,DELIVER,int_8;,HD-Mailbox Rules Agent,int_54
132,2021-02-22T12:14:09.6020000Z,DELIVER,int_8;,HD-Mailbox Rules Agent,int_1
133,2021-02-16T04:41:06.5650000Z,SUBMIT,int_36;,,int_1
134,2021-02-22T12:14:11.2280000Z,DELIVER,int_5;,,int_1
135,2021-02-22T12:14:09.0990000Z,AGENTINFO,int_8;int_7;int_2;,,int_1
136,2021-02-01T07:19:12.9240000Z,AGENTINFO,int_8;int_7;int_2;,,int_1
137,2021-02-15T07:50:13.3960000Z,AGENTINFO,int_63;,,int_1
138,2021-02-14T06:46:16.6730000Z,AGENTINFO,int_64;int_64;,,int_1
139,2021-02-25T08:58:05.5020000Z,RECIPIENTINFO,int_70;int_69;int_68;int_67;int_66;int_2;int_65;int_65;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40',int_1
140,2021-02-23T15:59:26.9430000Z,RECEIVE,int_5;int_2;,,int_54
141,2021-02-03T06:59:06.0790000Z,AGENTINFO,int_5;int_5;,,int_1
142,2021-02-17T07:01:50.6050000Z,AGENTINFO,int_31;,,int_71
143,2021-02-14T06:46:17.0630000Z,DELIVER,int_72;,,int_1
144,2021-02-23T15:41:56.1360000Z,AGENTINFO,int_8;int_7;,,int_54
145,2021-02-23T15:59:27.7450000Z,AGENTINFO,int_8;int_7;,,int_54
146,2021-02-18T09:35:18.5050000Z,TRANSFER,int_58;int_58;,,int_58
147,2021-02-04T11:08:04.2040000Z,RECEIVE,int_73;,Unknown,int_1
148,2021-02-23T12:24:29.1930000Z,TRANSFER,ext_75;,,int_74
149,2021-02-01T10:33:08.5670000Z,RESUBMIT,int_5;int_5;,Message forked,int_1
150,2021-02-23T16:42:02.2980000Z,DELIVER,int_7;,helpdesk-test-Mailbox Rules Agent,int_54
151,2021-02-23T15:59:27.6620000Z,RECIPIENTINFO,int_5;int_5;int_2;,'UserMailbox.Forwardable.Resolver.CreateRecipientItems.40;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70',int_54
152,2021-02-17T09:06:10.8280000Z,DELIVER,int_2;,Tickets-Mailbox Rules Agent,int_1
153,2021-02-14T06:46:16.7340000Z,AGENTINFO,int_72;int_78;int_77;int_76;int_2;int_53;,,int_1
154,2021-02-25T08:58:04.5830000Z,CLIENTSUBMISSION,int_65;,,int_1
155,2021-02-23T15:41:56.3230000Z,DELIVER,int_5;,,int_54
156,2021-02-01T08:21:22.5420000Z,RECEIVE,int_79;ext_13;ext_13;ext_13;,,int_12
157,2021-02-01T12:32:13.6360000Z,DELIVER,ext_45;,,int_1
158,2021-02-15T08:30:11.8400000Z,CLIENTSUBMISSION,int_11;,,int_1
159,2021-02-03T06:59:06.0710000Z,RECIPIENTINFO,int_5;int_5;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70',int_1
160,2021-02-11T11:50:27.7190000Z,RECEIVE,int_24;,,int_23
161,2021-02-11T10:04:04.0330000Z,AGENTINFO,int_81;int_49;int_51;,,int_80
162,2021-02-11T07:30:41.6820000Z,AGENTINFO,ext_35;,,int_34
163,2021-02-10T11:06:09.3060000Z,DELIVER,int_77;,,int_1
164,2021-02-04T06:43:21.8300000Z,RECEIVE,int_2;,,int_1
165,2021-02-07T10:06:10.6610000Z,DELIVER,int_2;,Tickets-Mailbox Rules Agent,int_1
166,2021-02-04T06:43:21.9060000Z,AGENTINFO,int_2;,,int_1
167,2021-02-04T08:17:47.8840000Z,DELIVER,int_17;,,int_8
168,2021-02-11T04:35:09.6190000Z,RECEIVE,int_28;,,int_1
169,2021-02-15T09:45:47.5170000Z,RECEIVE,int_83;int_73;int_2;int_82;,To;To;To;To,int_8
170,2021-02-25T16:35:23.7220000Z,SUBMIT,int_53;,,int_71
171,2021-02-01T08:21:24.0190000Z,TRANSFER,ext_13;ext_13;,,int_12
172,2021-02-23T14:04:05.9210000Z,TRANSFER,int_5;int_5;,,int_1
173,2021-02-01T11:20:11.5010000Z,AGENTINFO,int_22;int_21;int_20;int_19;int_16;int_2;int_18;,,int_1
174,2021-02-08T10:52:28.4210000Z,RECIPIENTINFO,ext_43;ext_43;ext_43;ext_43;ext_43;ext_43;ext_43;,'NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10',int_53
175,2021-02-25T15:02:07.8640000Z,RECEIVE,int_6;,Unknown,int_1
176,2021-02-10T06:31:17.5430000Z,RECIPIENTINFO,int_5;int_5;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70',int_1
177,2021-02-23T14:04:08.1610000Z,DELIVER,int_5;,,int_1
178,2021-02-09T08:41:20.7150000Z,RESUBMIT,int_32;,,int_84
179,2021-02-01T11:20:11.9770000Z,DELIVER,int_20;,,int_1
180,2021-02-23T16:30:28.8040000Z,DELIVER,int_5;,,int_54
181,2021-02-11T11:39:05.5180000Z,SUBMIT,int_20;,,int_1
182,2021-02-10T11:06:09.2690000Z,DELIVER,int_78;,,int_1
183,2021-02-23T14:04:06.3810000Z,DELIVER,int_8;,HD-Mailbox Rules Agent,int_1
184,2021-02-08T10:52:28.4200000Z,SETROUTE,ext_43;,,int_53
185,2021-02-25T16:35:23.7400000Z,AGENTINFO,int_53;,,int_71
186,2021-02-01T07:55:51.2280000Z,AGENTINFO,int_42;,,int_85
187,2021-02-10T06:31:17.8890000Z,DELIVER,int_7;,Qatar HD-Mailbox Rules Agent,int_1
188,2021-02-11T04:51:08.6210000Z,CLIENTSUBMISSION,int_28;,,int_1
189,2021-02-11T09:50:44.5140000Z,DELIVER,int_28;,HelpDesk_Oman-Mailbox Rules Agent,int_1
190,2021-02-15T09:45:47.9660000Z,RECIPIENTINFO,int_83;int_73;int_2;int_82;,'UserMailbox.Forwardable.Resolver.CreateRecipientItems.40;UserMailbox.Forwardable.Resolver.CreateRecipientItems.40;UserMailbox.Forwardable.Resolver.CreateRecipientItems.40;UserMailbox.Forwardable.Resolver.CreateRecipientItems.40',int_8
191,2021-02-01T08:17:08.3120000Z,RECEIVE,int_5;,Unknown,int_1
192,2021-02-02T11:58:07.2740000Z,DELIVER,int_2;,Tickets-Mailbox Rules Agent,int_1
193,2021-02-02T07:32:36.0860000Z,RECIPIENTINFO,ext_43;,MailUser.Contact.Resolver.CreateRecipientItems.30,int_1
194,2021-02-21T07:25:11.8950000Z,SENDEXTERNAL,ext_44;,250 recipient <<PII:H101(Lx16QMJID8FOplqGTTtxsEAvG5pKqBSssl3zaI5X3uw=):E102(TZqYlI6GfHBiqJeEb7KagPDNCCQvq4r2W+U0XSOE/ZHI5V7ZZcuUIx5BryYU5Skc)>@hbtf.com.jo> ok,int_1
195,2021-02-01T10:33:08.5790000Z,AGENTINFO,int_8;int_7;int_2;,,int_1
196,2021-02-14T12:55:46.8430000Z,DUPLICATEEXPAND,int_82;,'250 2.1.5 RESOLVER.GRP.Expanded; distribution list expanded',int_82
197,2021-02-23T04:45:10.1400000Z,SUBMIT,ext_55;,,int_1
198,2021-02-14T12:55:46.9160000Z,RESUBMIT,int_87;ext_86;,Message forked,int_82
199,2021-02-14T12:55:46.5260000Z,RECEIVE,int_87;ext_86;,,int_82
200,2021-02-21T06:53:07.1920000Z,AGENTINFO,int_5;int_5;,,int_1
201,2021-02-10T06:02:19.6230000Z,AGENTINFO,ext_55;,,int_1
202,2021-02-21T11:43:05.6980000Z,RECIPIENTINFO,int_5;int_5;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70',int_1
203,2021-02-11T09:06:44.9620000Z,RECIPIENTINFO,int_8;int_7;int_2;int_5;int_5;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40',int_1
204,2021-02-01T11:20:11.5040000Z,AGENTINFO,int_14;int_14;,,int_1
205,2021-02-11T14:25:09.5990000Z,AGENTINFO,int_33;,,int_1
206,2021-02-01T09:13:08.9300000Z,AGENTINFO,int_33;,,int_1
207,2021-02-21T11:43:05.9780000Z,DELIVER,int_5;,,int_1
208,2021-02-01T08:27:11.3990000Z,SUBMIT,int_10;,,int_9
209,2021-02-01T12:57:08.2410000Z,AGENTINFO,int_3;,,int_1
210,2021-02-01T11:07:11.8050000Z,RECEIVE,int_15;,,int_1
211,2021-02-11T14:30:04.7970000Z,RECEIVE,int_2;,,int_1
212,2021-02-01T08:27:11.9770000Z,RESUBMIT,int_10;,,int_9
213,2021-02-02T14:02:58.4150000Z,CLIENTSUBMISSION,int_88;,,int_71
214,2021-02-01T11:20:11.4880000Z,AGENTINFO,int_22;int_21;int_20;int_19;int_16;int_2;int_18;int_14;int_14;,,int_1
215,2021-02-01T08:21:24.1120000Z,SETROUTE,ext_13;,,int_12
216,2021-02-01T08:17:08.4950000Z,RECIPIENTINFO,int_8;int_7;int_2;int_5;int_5;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40',int_1
217,2021-02-21T11:43:05.7040000Z,AGENTINFO,int_8;int_7;int_2;,,int_1
218,2021-02-11T07:32:09.3750000Z,AGENTINFO,int_37;int_36;,,int_34
219,2021-02-01T10:33:08.4440000Z,RECEIVE,int_5;,,int_1
220,2021-02-21T07:12:13.7440000Z,DELIVER,int_47;,,int_1
221,2021-02-21T05:33:05.8570000Z,SUBMIT,int_41;,,int_1
222,2021-02-10T11:18:13.0960000Z,RECEIVE,int_11;,Unknown,int_1
223,2021-02-11T07:42:04.6300000Z,CLIENTSUBMISSION,int_39;,,int_1
224,2021-02-23T08:10:05.0750000Z,CLIENTSUBMISSION,ext_55;,,int_1
225,2021-02-23T16:07:24.4250000Z,AGENTINFO,int_8;int_7;int_5;int_5;int_2;,,int_54
226,2021-02-08T12:03:19.3810000Z,SUBMIT,ext_89;,,int_51
227,2021-02-11T11:39:06.5890000Z,DELIVER,int_20;,,int_1
228,2021-02-01T12:32:12.3330000Z,DELIVER,int_47;,,int_1
229,2021-02-01T11:20:12.2140000Z,DELIVER,int_18;,HD-Mailbox Rules Agent,int_1
230,2021-02-01T09:13:08.2190000Z,CLIENTSUBMISSION,int_33;,,int_1
231,2021-02-01T08:21:24.1120000Z,SETROUTE,ext_13;,,int_12
232,2021-02-09T10:56:10.6280000Z,SUBMIT,int_4;,,int_1
233,2021-02-01T07:19:13.5140000Z,DELIVER,int_2;,Tickets-Mailbox Rules Agent,int_1
234,2021-02-01T08:21:22.7740000Z,RECIPIENTINFO,int_79;ext_13;ext_13;ext_13;,'NotFound.OneOff.Resolver.CreateRecipientItems.10;MailUser.Contact.Resolver.CreateRecipientItems.30;NotFound.OneOff.Resolver.CreateRecipientItems.10;UserMailbox.Forwardable.Resolver.CreateRecipientItems.40',int_12
235,2021-02-21T08:18:03.2770000Z,RECEIVE,ext_43;,Unknown,int_1
236,2021-02-11T14:25:09.6000000Z,AGENTINFO,int_33;,,int_1
237,2021-02-21T12:10:17.6260000Z,DELIVER,ext_45;,,int_1
